scenario;co2price;wind_lim;pv_cost;variable;AT;DE
base;120;18;16715;add_oil_cc;0,0;0,0
base;120;18;16715;add_bio;0,0;0,0
base;120;18;16715;add_bio_chp;0,0;0,0
base;120;18;16715;add_ng_boiler_chp;0,0;0,0
base;120;18;16715;add_heatpump_pth;0,0;0,0
base;120;18;16715;cost_airpol;266268,1315724426;2535592,463989092
base;120;16;36715;syscost;3352370,191595185;24931796,79333302
base;120;16;36715;co2emission;4457,477655974023;57638,04178130614
base;120;16;36715;curtail;3136,3811119446445;8772,17842304572
base;120;16;36715;gen_el;15963,59752443153;220345,70318800068
base;120;16;36715;gen_ht;22516,666599999455;127978,02409999956
base;120;16;36715;gen_biomass;5462,360450504275;81331,88738654058
base;120;16;36715;gen_renew;75155,32569068161;335850,2340636436
base;120;16;36715;cons_spend;5098127,611144695;36583100,573025584
base;120;16;36715;prod_surplus;5660664,722978498;26017902,376022995
base;120;16;36715;exports;;7382,489064985584
base;120;16;36715;export_value;1440794,1642703903;485784,5225643636
base;120;16;36715;import_value;-485784,5225643636;-1440794,1642703903
base;120;16;36715;in_storages;6886,081319668517;60418,05131908974
base;120;16;36715;gen_storages;11303,791952630938;54434,35658989734
base;120;16;36715;price_el;61,888026974678844;67,05647584166553
base;120;16;36715;price_ht;27,817491336178552;27,032066732666536
base;120;16;36715;add_pv;4,133841330027156;9,913262067413177
base;120;16;36715;add_ror;0,0;0,0
base;120;16;36715;add_wind_off;0,0;15,0
base;120;16;36715;add_wind_on;16,0;5,306232675209495
base;120;16;36715;add_nuc;0,0;1,0
base;120;16;36715;add_lig_stm;0,0;1,0
base;120;16;36715;add_lig_stm_chp;0,0;0,0
base;120;16;36715;add_lig_boa;0,0;0,0
base;120;16;36715;add_lig_boa_chp;0,0;0,0
base;120;16;36715;add_coal_sub;0,0;0,0
base;120;16;36715;add_coal_sub_chp;2,966547704660222;12,9716
base;120;16;36715;add_coal_sc;0,0;0,0
base;120;16;36715;add_coal_sc_chp;0,0;0,0
base;120;16;36715;add_ng_stm;0,0;0,0
base;120;16;36715;add_ng_stm_chp;0,0;0,0
base;120;16;36715;add_ng_cbt_lo;0,0;0,0
base;120;16;36715;add_ng_cbt_lo_chp;0,0;0,0
base;120;16;36715;add_ng_cbt_hi;0,0;0,0
base;120;16;36715;add_ng_cbt_hi_chp;0,0;0,0
base;120;16;36715;add_ng_cc_lo;0,0;0,0
base;120;16;36715;add_ng_cc_lo_chp;0,0;0,0
base;120;16;36715;add_ng_cc_hi;0,0;15,755185308607183
base;120;16;36715;add_ng_cc_hi_chp;0,0;0,0
base;120;16;36715;add_ng_mtr;0,0;0,0
base;120;16;36715;add_ng_mtr_chp;0,0;0,0
base;120;16;36715;add_oil_stm;0,0;0,0
base;120;16;36715;add_oil_stm_chp;0,0;0,0
base;120;16;36715;add_oil_cbt;0,8898416859883449;6,52399918724393
base;120;16;36715;add_oil_cbt_chp;0,0;0,0
base;120;16;36715;add_oil_cc;0,0;0,0
base;120;16;36715;add_bio;0,0;0,0
base;120;16;36715;add_bio_chp;0,0;0,0
base;120;16;36715;add_ng_boiler_chp;0,0;0,0
base;120;16;36715;add_heatpump_pth;0,0;0,0
base;120;16;36715;cost_airpol;195367,99633793;2420339,432430381
