;;;;;AT;DE;Value
base;0;16;36424;deco_g_oil_stm;0,148;0,0;
base;0;16;36424;deco_g_oil_stm_chp;0,0;0,0;
base;0;16;36424;add_s_battery;0,0;7,6370449118613735;
base;0;16;36424;add_s_h2_stack;0,0;0,0;
base;0;16;36424;add_s_hyd_psp_day;0,0;0,0;
base;0;16;36424;add_s_hyd_psp_season;0,0;0,0;
base;0;16;36424;add_s_hyd_psp_week;0,0;0,0;
base;0;16;36424;add_s_hyd_res_day;0,0;0,0;
base;0;16;36424;add_s_hyd_res_season;0,0;0,0;
base;0;16;36424;add_s_hyd_res_week;0,0;0,0;
base;0;16;36424;add_v_battery;0,0;7,6370449118613735;
base;0;16;36424;add_v_h2_stack;0,0;0,0;
base;0;16;36424;add_v_hyd_psp_day;0,0;0,0;
base;0;16;36424;add_v_hyd_psp_season;0,0;0,0;
base;0;16;36424;add_v_hyd_psp_week;0,0;0,0;
base;0;16;36424;add_v_hyd_res_day;0,0;0,0;
base;0;16;36424;add_v_hyd_res_season;0,0;0,0;
base;0;16;36424;add_v_hyd_res_week;0,0;0,0;
base;0;16;36424;add_x_AT;0,0;0,0;
base;0;16;36424;add_x_DE;0,0;0,0;
base;0;16;36424;cost_air_pol_Biomass;79683,50715612966;0,0;
base;0;16;36424;cost_air_pol_Coal;0,0;1299996,142503433;
base;0;16;36424;cost_air_pol_Gas;97124,79455093126;656122,1900663853;
base;0;16;36424;cost_air_pol_Lignite;0,0;1112557,36816701;
base;0;16;36424;cost_air_pol_Nuclear;0,0;0,0;
base;0;16;36424;cost_air_pol_Oil;0,0;5864,95204470967;
base;0;16;36424;cost_air_pol_Power;0,0;0,0;
base;0;16;36424;cost_air_pol_Solar;5510,688;367044,0;
base;0;16;36424;cost_air_pol_Water;0,0;0,0;
base;0;16;36424;cost_air_pol_Wind;37474,07560890821;299519,8;
base;0;16;36424;AnnGByTec_('bio', 'el', 'Biomass');1754,6882640683864;0,0;
base;0;16;36424;AnnGByTec_('bio_chp', 'el', 'Biomass');3984,411636597935;0,0;
base;0;16;36424;AnnGByTec_('bio_chp', 'ht', 'Biomass');283,13615241869104;0,0;
base;0;16;36424;AnnGByTec_('coal_sc', 'el', 'Coal');0,0;4598,551832477716;
base;0;16;36424;AnnGByTec_('coal_sc_chp', 'el', 'Coal');0,0;17513,798305412096;
base;0;16;36424;AnnGByTec_('coal_sc_chp', 'ht', 'Coal');0,0;4009,8207862254453;
base;0;16;36424;AnnGByTec_('coal_sub', 'el', 'Coal');0,0;23335,250140691533;
base;0;16;36424;AnnGByTec_('coal_sub_chp', 'el', 'Coal');0,0;34818,22359608044;
base;0;16;36424;AnnGByTec_('coal_sub_chp', 'ht', 'Coal');0,0;9743,62591311995;
base;0;16;36424;AnnGByTec_('heatpump_pth', 'ht', 'Power');5110,297512169441;224,84880994932544;
base;0;16;36424;AnnGByTec_('lig_boa', 'el', 'Lignite');0,0;4978,068479999068;
base;0;16;36424;AnnGByTec_('lig_boa_chp', 'el', 'Lignite');0,0;4316,206515632328;
base;0;16;36424;AnnGByTec_('lig_boa_chp', 'ht', 'Lignite');0,0;1821,7186957862234;
base;0;16;36424;AnnGByTec_('lig_stm', 'el', 'Lignite');0,0;28552,829767740706;
base;0;16;36424;AnnGByTec_('lig_stm_chp', 'el', 'Lignite');0,0;51079,491392165866;
base;0;16;36424;AnnGByTec_('lig_stm_chp', 'ht', 'Lignite');0,0;61029,28815249914;
base;0;16;36424;AnnGByTec_('ng_boiler_chp', 'ht', 'Gas');2489,350831966665;1182,622926421004;
base;0;16;36424;AnnGByTec_('ng_cbt_hi', 'el', 'Gas');0,0;67,15838208615618;
base;0;16;36424;AnnGByTec_('ng_cbt_lo', 'el', 'Gas');0,0;580,7281451131721;
base;0;16;36424;AnnGByTec_('ng_cc_hi', 'el', 'Gas');0,0;28891,475344851864;
base;0;16;36424;AnnGByTec_('ng_cc_hi_chp', 'el', 'Gas');15886,482505425392;38092,045734989726;
base;0;16;36424;AnnGByTec_('ng_cc_hi_chp', 'ht', 'Gas');10305,593318014699;9961,14250227236;
base;0;16;36424;AnnGByTec_('ng_cc_lo', 'el', 'Gas');733,8493169549151;9539,642500323835;
base;0;16;36424;AnnGByTec_('ng_cc_lo_chp', 'el', 'Gas');1954,0307827036602;29440,26799205526;
base;0;16;36424;AnnGByTec_('ng_cc_lo_chp', 'ht', 'Gas');1871,5090189979992;14154,668484622422;
base;0;16;36424;AnnGByTec_('ng_mtr', 'el', 'Gas');0,0;68,24994801174716;
base;0;16;36424;AnnGByTec_('ng_mtr_chp', 'el', 'Gas');0,0;615,7966648144669;
base;0;16;36424;AnnGByTec_('ng_mtr_chp', 'ht', 'Gas');0,0;597,2490155941899;
base;0;16;36424;AnnGByTec_('ng_stm', 'el', 'Gas');0,0;1545,169979876707;
base;0;16;36424;AnnGByTec_('ng_stm_chp', 'el', 'Gas');1526,2900453549871;30373,087874820376;
base;0;16;36424;AnnGByTec_('ng_stm_chp', 'ht', 'Gas');2456,779766432704;25253,0388135018;
base;0;16;36424;AnnGByTec_('oil_cbt', 'el', 'Oil');0,0;255,12128428314625;
base;0;16;36424;AnnGByTec_('oil_stm', 'el', 'Oil');0,0;86,97517045638199;
base;0;16;36424;AnnGByTec_('oil_stm_chp', 'el', 'Oil');0,0;390,1417980488233;
base;0;16;36424;cost_airpol;219793,0653159691;3741104,4527815375;
base;0;14;36424;cost_zonal;2404648,282580285;14414734,461444924;
base;0;14;36424;AnnCO2Emissions;8272,03386609961;237289,92354231045;
base;0;14;36424;AnnCurtail;1313,3401141257718;6129,545764346769;
base;0;14;36424;AnnG_el;25839,722021106783;309138,31138009275;
base;0;14;36424;AnnG_ht;22516,66660000141;127978,02409997885;
base;0;14;36424;AnnGBiomass;5739,099900665849;;
base;0;14;36424;AnnGFossil;42617,288720442346;437116,3354800716;
base;0;14;36424;AnnR;59663,2641193349;284294,9393899988;
base;0;14;36424;AnnSpendingEl;2395286,401635829;20629332,60100671;
base;0;14;36424;AnnProdSurplus;2308372,7504491536;12405962,833745787;
base;0;14;36424;AnnX;;11640,9505921143;
base;0;14;36424;AnnValueX;814927,5421116797;183470,39869037838;
base;0;14;36424;AnnValueI;-183470,39869037838;-814927,5421116797;
base;0;14;36424;AnnSIn;6534,152513095635;31081,891794833467;
base;0;14;36424;AnnSOut;14707,634165606736;29251,279799880245;
base;0;14;36424;AvgPriceEl;29,3315171369948;32,76695930443156;
base;0;14;36424;AvgPriceHt;12,803461824572915;9,73124808448637;
base;0;14;36424;cost_invest_g;2117,751198760121;432713,0120469862;
base;0;14;36424;cost_invest_r;716318,2518315588;0,0;
base;0;14;36424;cost_invest_sv;0,0;272796,2812580459;
base;0;14;36424;cost_invest_x;0,0;0,0;
base;0;14;36424;CostCO2;;;False
base;0;14;36424;CostFuel;696182,5383899086;6901298,37361152;
base;0;14;36424;CostOMG;337522,7723686598;3528693,6503645265;
base;0;14;36424;CostOMR;652506,9687905143;3279233,144168009;
base;0;14;36424;add_r_pv;0,0;0,0;
base;0;14;36424;add_r_ror;0,0;0,0;
base;0;14;36424;add_r_wind_off;0,0;0,0;
base;0;14;36424;add_r_wind_on;10,588045428791315;0,0;
base;0;14;36424;add_g_bio;0,0;0,0;
base;0;14;36424;add_g_bio_boiler_chp;0,0;0,0;
base;0;14;36424;add_g_bio_chp;0,0;0,0;
base;0;14;36424;add_g_coal_igcc;0,0;0,0;
base;0;14;36424;add_g_coal_sc;0,0;0,0;
base;0;14;36424;add_g_coal_sc_chp;0,0;0,0;
base;0;14;36424;add_g_coal_sub;0,0;0,0;
base;0;14;36424;add_g_coal_sub_chp;0,0;0,0;
